sent_id	left_context	pivot	right_context
dev-s129	Ich war im Dezember bei Küchen Walther und wurde vom Inhaber 	Michael	 Walther bedient. 
dev-s129	Ich war im Dezember bei 	Küchen	 Walther und wurde vom Inhaber Michael Walther bedient. 
dev-s130	Der Grundriss unseres Hauses aus den den 70er ist etwas kompliziert, aber Herr 	Walther	 hatte sofort die Lösung für unser Problem. 
dev-s133	Selbstverständlich sind aber dann noch mal zu Möbel Höffner und auch zu 	Segmüller	 gegangen. 
dev-s133	Selbstverständlich sind aber dann noch mal zu 	Möbel	 Höffner und auch zu Segmüller gegangen. 
dev-s137	Die Firma 	Wintergartenbau	 hat in den vergangenen 3 Jahren einige Leistungen in unserem Auftrag ausgeführt. 
dev-s143	5 Sterne und ein großes Lob an die gesamte Firma 	Wintergartenbau	. 
dev-s144	Vielen Grüße aus 	Falkensee	 
dev-s145	Leider kein Paradies, sondern ein Glashaus voller Mängel erwartete uns in unserem Wintergarten, der von der Firma 	Wintergartenbau	 gefertigt wurde. 
dev-s152	Die Firma 	IPM	 überzeugt durch umfassende Kompetenz auf den Gebieten der Website und Datenbank Programmierung. 
dev-s189	Ihr findet hier auf der Karte das FitnessPoint Lady in 	weingarten	. 
dev-s199	Hierfür verdient 	Torsten	 Burrichter meinen besonderen Respekt. 
dev-s200	Es spricht für sich, dass 	Torsten	 Burrichter das Angebot seiner Yoga - Stunden aufgrund der großen Nachfrage in den letzten Jahren kontinuierlich erweitert hat. 
dev-s201	Für mich ist 	Burtaris	 Yoga zu einer wichtigen Instanz geworden, die ich nicht mehr missen möchte! 
dev-s205	Dr. 	Sieben	 ist wirklich hervorragend mit mir umgegangen. 
dev-s208	Auf jeden Fall werde ich jetzt immer zu Dr. 	Sieben	 gehen!! 
dev-s210	Eine Bekannte empfahl mir dann Herr Dr. 	Sieben	 und wie sich herausstellte, war der Preis, den ich dort bezahlte 70 % unter dem der anderen beiden Zahnärzte!!!! 
dev-s212	Bin jetzt schon seit einigen Jahren bei Herrn Dr. 	Sieben	 in Behandlung und ich bin immer zufrieden gewesen! 
dev-s213	Herr Dr. 	Sieben	 ist ein äußerst kompetenter und sehr erfahrener Zahnarzt. 
dev-s216	So eben war ich das erste mal in der Praxis bei Frau Doktor 	Luger	. 
dev-s229	Die Pizzeria 	Waldhorn	 ist eine wirklich gute Gastwirtschaft, nur weiter zu empfehlen! 
dev-s235	Herr 	Opitz	 ist wirklich nett, immer zu einem Pläuschen bereit und wirkt durchaus kompetent. 
dev-s238	Herr 	Prommersberger	 fühlt sich sehr gut in den Menschen / Patienten ein und konnte mir sehr gut helfen. 
dev-s243	Auch 	TV	 München und die Münchner Zeitung haben gute Kritiken hinterlassen. 
dev-s245	Für den Wirt entstehen dabei nur Kosten (	Gema	) falls das jemand interessiert. 
dev-s248	Also liebes 	MONACO	 TEAM bleibt so wie ihr seid!! 
dev-s252	Es handelt sich laut Auspreisung um den größten Holzfachmarkt zwischen München und 	Salzburg	. 
dev-s252	Es handelt sich laut Auspreisung um den größten Holzfachmarkt zwischen 	München	 und Salzburg. 
dev-s255	Bei den Preisen für Qualitätsböden von 	HARO	 konnten wir einfach nicht anders. 
dev-s257	Wenn es schon Fastfood sein muss, dann bei 	Jim	 Block. 
dev-s261	Der Laden 	Kirchenallee	 stößt zu Hauptzeiten leider an seine Kapazitätsgrenze. 
dev-s262	Bei 	Jim	 Block bekommen Sie super leckere Burger zu wirklich guten Preisen. 
dev-s266	Für mich einer der besten Burger Läden in 	Hamburg	! 
dev-s276	Über den Google Maps Eintrag bin ich auf die Website von Frau 	Weissenborn	 aufmerksam geworden. 
dev-s277	Ich bin jetzt schon ca. 4 Jahre Kunde bei 	Herbalife	. 
dev-s278	Mit der Beratung und Belieferung meines Kundenberaters 	Horst	 Rosenberger bin ich sehr zufrieden. 
dev-s280	Heute konnten wir zum ersten Mal im Restaurant 	Stark	 zu Abend essen. 
dev-s290	Schönen Gruß Büro für Bautechnik, 	Thesing	 
dev-s291	Bin langjähriger Kunde bei 	CSV	 und kann die Firma nur weiterempfehlen. 
dev-s300	Die Betreiber des Copyshops benutzen ausschließlich Windows-Rechner und akzeptieren keine Mac-Formatierten 	USB	-Sticks. 
dev-s300	Die Betreiber des Copyshops benutzen ausschließlich Windows-Rechner und akzeptieren keine 	Mac	-Formatierten USB-Sticks. 
dev-s300	Die Betreiber des Copyshops benutzen ausschließlich 	Windows	-Rechner und akzeptieren keine Mac-Formatierten USB-Sticks. 
dev-s301	Dann hörten wir vom Hundezentrum - Fulda in 	Löschenrod	. 
dev-s320	Aber noch nie bin ich so gut, so schnell und so kompetent wie bei Herrn 	Klimmet	 bedient worden. 
dev-s324	Und dies war bei Herrn 	Klimmet	 gleich gegeben. 
dev-s326	Nun überlege ich ob ich nicht lieber 3 Std. Anfahrt in Kauf nehme um mich bei Herrn 	Klimmet	 ordentlich und freundlich, bedienen zu lassen. 
dev-s328	Kam mit großen Zahnschmerzen zu Dr. 	Brune	 aufgrund einer Empfehlung. 
dev-s332	Seitdem ich einmal bei 	Deluca	 Schuhe gekauft habe, gehe ich immer dort hin! 
dev-s342	Diese Firma ist schon lange nicht mehr in 	Neu	 - Isenburg ansässig und die Faxnummer ist nicht die richtige. 
dev-s344		Choclet	 überzeugt! 
dev-s351	Man kann Hertz in 	Rosenheim	 in vollem Umfang des Service und Programms als Marktführer empfehlen! 
dev-s351	Man kann 	Hertz	 in Rosenheim in vollem Umfang des Service und Programms als Marktführer empfehlen! 
dev-s352	In 	Berlin	 gibt es mittlerweile Strandbars wie Sand am Meer. 
dev-s353		Metaxa	 Bay ist eine der neuesten, aber leider nicht eine der Besten. 
dev-s365	Habe vergangene Woche einen NLP Kurs bei 	diedenkweisen	 besucht! 
dev-s367	Für alle NLP Interessierten in und um 	Köln	 kann ich diese Seite absolute weiterempfehlen! 
dev-s379	Ich bin sehr zufrieden mit 	Thomann	 und werde auch noch weiterhin dort einkaufen. 
dev-s380	(Der Shop 	Thomann	 ist noch sehr vielversprechender!) 
dev-s381	Das Musikhaus 	Thomann	 hat nicht nur ein riesiges Angebot mit günstigen Preisen, es hat auch noch eine spitzen Logistik. 
dev-s385	Bei Fragen um Luster und Leuchten ist die Fa 	Maresch	 Kristall Leuchten meine erste Wahl. 
dev-s388	Herr 	Feldkamp	 riet mir den Termin abzusagen und zu kommen. 
dev-s395	Liegt wohl auch daran, dass er seit 1991 in 	Berlin	 als Strafverteidiger tätig ist. 
dev-s399	Nach 8 Tagen saß ich zum ersten Mal im Büro von Herrn 	Feldkamp	, der mir zuvor die Ermittlungsakte meiner Strafsache professionell verschlüsselt per E - Mail als pdf geschickt hatte. 
dev-s420	Wir waren auf dem Weg nach Russland mit unserem Wohnmobil bei Miriam und 	Christoph	. 
dev-s420	Wir waren auf dem Weg nach Russland mit unserem Wohnmobil bei 	Miriam	 und Christoph. 
dev-s420	Wir waren auf dem Weg nach 	Russland	 mit unserem Wohnmobil bei Miriam und Christoph. 
dev-s425	Wir haben 60qm Dielenboden abgeschliffen und uns die Maschinen bei der Firma 	Plehnert	 in der Weidenallee gemietet. 
dev-s433	Die Einzelstunden am Sonntag war sehr gut, sie fand in einem freundschaftlichen Ton statt, meine Fragen wurden ausführlich beantwortet, mein Hund "	Emiliy	" liebt die Trainerin vom ersten Augenblick an. 
dev-s452	Da werd ich wohl noch einige andere Sauna in 	Bremen	 ausprobieren. 
dev-s456	Die Realität der Ferienwohnung Norderney mit dem Namen 	Sonnendüne	 ist besser als die Bilder. 
dev-s456	Die Realität der Ferienwohnung 	Norderney	 mit dem Namen Sonnendüne ist besser als die Bilder. 
dev-s461	Das Restaurant im 6. Stock des Best Western Donner 's Hotel in 	Cuxhaven	 wurde völlig umgstaltet. 
dev-s461	Das Restaurant im 6. Stock des Best Western 	Donner	 's Hotel in Cuxhaven wurde völlig umgstaltet. 
dev-s465	Der für 	Cuxhaven	 einmalige Blick über den Hafen und die Elbmündung ist geblieben und verwöhnt den Gast aufs Weitere! 
dev-s496		Centro	 ist Wunderbar! 
dev-s502	Dieter Spöri, SPD-Wirtschaftsminister in Teufels großer Koalition 	Baden	-Württembergs, findet, daß die SPD aus den Folgen des radikalen wirtschaftlichen Wandels, der Globalisierung von Arbeitsmarkt und Produktion noch nicht die entscheidenden Folgerungen gezogen hat. 
dev-s502	Dieter Spöri, SPD-Wirtschaftsminister in 	Teufels	 großer Koalition Baden-Württembergs, findet, daß die SPD aus den Folgen des radikalen wirtschaftlichen Wandels, der Globalisierung von Arbeitsmarkt und Produktion noch nicht die entscheidenden Folgerungen gezogen hat. 
dev-s502	Dieter Spöri, 	SPD	-Wirtschaftsminister in Teufels großer Koalition Baden-Württembergs, findet, daß die SPD aus den Folgen des radikalen wirtschaftlichen Wandels, der Globalisierung von Arbeitsmarkt und Produktion noch nicht die entscheidenden Folgerungen gezogen hat. 
dev-s502	Dieter 	Spöri	, SPD-Wirtschaftsminister in Teufels großer Koalition Baden-Württembergs, findet, daß die SPD aus den Folgen des radikalen wirtschaftlichen Wandels, der Globalisierung von Arbeitsmarkt und Produktion noch nicht die entscheidenden Folgerungen gezogen hat. 
dev-s502		Dieter	 Spöri, SPD-Wirtschaftsminister in Teufels großer Koalition Baden-Württembergs, findet, daß die SPD aus den Folgen des radikalen wirtschaftlichen Wandels, der Globalisierung von Arbeitsmarkt und Produktion noch nicht die entscheidenden Folgerungen gezogen hat. 
dev-s505	Beate 	Weber	 sucht noch Helfer für die kommenden Stunden, doch die versammelten Zugpflegeleiterinnen müssen eine nach der anderen passen. 
dev-s505		Beate	 Weber sucht noch Helfer für die kommenden Stunden, doch die versammelten Zugpflegeleiterinnen müssen eine nach der anderen passen. 
dev-s506	Das 	Tritium	 ist radioaktiv und lagert sich leicht im menschlichen Körper ein. 
dev-s507	Die EU-Staaten, die USA und Polen hatten Nigerias Präsidenten Sani Abacha schon am Donnerstag aufgefordert, das Urteil gegen den Schriftsteller 	Ken	 Saro-Wiwa und acht weitere Politiker rückgängig zu machen. 
dev-s507	Die EU-Staaten, die USA und Polen hatten Nigerias Präsidenten 	Sani	 Abacha schon am Donnerstag aufgefordert, das Urteil gegen den Schriftsteller Ken Saro-Wiwa und acht weitere Politiker rückgängig zu machen. 
dev-s507	Die EU-Staaten, die USA und Polen hatten 	Nigerias	 Präsidenten Sani Abacha schon am Donnerstag aufgefordert, das Urteil gegen den Schriftsteller Ken Saro-Wiwa und acht weitere Politiker rückgängig zu machen. 
dev-s507	Die EU-Staaten, die USA und 	Polen	 hatten Nigerias Präsidenten Sani Abacha schon am Donnerstag aufgefordert, das Urteil gegen den Schriftsteller Ken Saro-Wiwa und acht weitere Politiker rückgängig zu machen. 
dev-s507	Die 	EU	-Staaten, die USA und Polen hatten Nigerias Präsidenten Sani Abacha schon am Donnerstag aufgefordert, das Urteil gegen den Schriftsteller Ken Saro-Wiwa und acht weitere Politiker rückgängig zu machen. 
dev-s510	``Der Stabilitätspakt für 	Europa	 ist ein wichtiger zusätzlicher Impuls für die Glaubwürdigkeit und Stabilität der europäischen Währung auf den internationalen Finanzmärkten'', versicherte Waigel. 
dev-s512	Die Sozialdemokraten suchen wieder Nachfolger für Ministerpräsident 	Carlsson	. 
dev-s513	Nach Ansicht des Ministers wird dadurch der ``innere Frieden in 	Deutschland	 gefährdet''. 
dev-s514	Ghali besucht 	Auschwitz	. 
dev-s514		Ghali	 besucht Auschwitz. 
dev-s516	Das israelische Fernsehen berichtete, der 25jährige Attentäter und sein zwei Jahre älterer Bruder hätten seit Monaten versucht, 	Rabin	 umzubringen. 
dev-s517	Der Sprecher des Weißen Hauses, 	Michael	 McCurry, sagte, die USA wollten nun wissen, ``welche neuen Kandidaten sich präsentieren werden''. 
dev-s517	Der Sprecher des 	Weißen	 Hauses, Michael McCurry, sagte, die USA wollten nun wissen, ``welche neuen Kandidaten sich präsentieren werden''. 
dev-s527	Die Zusage des Arbeitgebers auf Erstattung der Umzugskosten beinhalte im Zweifel auch den Rückumzug, entschied das Bundesarbeitsgericht (BAG) in einem am Montag in 	Kassel	 veröffentlichten Urteil (Az.: 5 AZR 216 / 94). 
dev-s527	Die Zusage des Arbeitgebers auf Erstattung der Umzugskosten beinhalte im Zweifel auch den Rückumzug, entschied das Bundesarbeitsgericht (	BAG	) in einem am Montag in Kassel veröffentlichten Urteil (Az.: 5 AZR 216 / 94). 
dev-s532	Der Bonus für die Aktionäre, der zum 125jährigen Bestehen von 	Schering	 im nächsten Jahr erwogen wurde, gebe es nicht. 
dev-s533	Das Berliner Landgericht hat am Montag zwei ehemalige 	DDR	-Juristen vom Vorwurf der Rechtsbeugung freigesprochen. 
dev-s537	``Der beste Zeitpunkt, die Energiebilanz eines Gebäudes zu verbessern, ist immer eine anstehende Sanierung'', sagt Olaf Hildebrandt von 	ebök	. 
dev-s537	``Der beste Zeitpunkt, die Energiebilanz eines Gebäudes zu verbessern, ist immer eine anstehende Sanierung'', sagt 	Olaf	 Hildebrandt von ebök. 
dev-s541	Die Mobilfunkbetreiber Telekom (D 1), Mannesmann (D 2) und 	Thyssen	 / Veba (E-plus) erhalten mittelfristig wahrscheinlich neue Konkurrenz. 
dev-s541	Die Mobilfunkbetreiber Telekom (D 1), 	Mannesmann	 (D 2) und Thyssen / Veba (E-plus) erhalten mittelfristig wahrscheinlich neue Konkurrenz. 
dev-s541	Die Mobilfunkbetreiber 	Telekom	 (D 1), Mannesmann (D 2) und Thyssen / Veba (E-plus) erhalten mittelfristig wahrscheinlich neue Konkurrenz. 
dev-s543	Die FRG lebt vor allem weiter von der Popularität von 	Rios	 Montt. 
dev-s544	Bundeskanzler Helmut Kohl (CDU) befindet sich mit großem Gefolge auf 	Asien	-Reise. 
dev-s544	Bundeskanzler 	Helmut	 Kohl (CDU) befindet sich mit großem Gefolge auf Asien-Reise. 
dev-s545	Der Druck auf den Shell-Konzern wegen seiner Unternehmenspolitik in 	Nigeria	 hat am Dienstag zugenommen. 
dev-s545	Der Druck auf den 	Shell	-Konzern wegen seiner Unternehmenspolitik in Nigeria hat am Dienstag zugenommen. 
dev-s546	Auch BASF interessierte sich für diese Aktivitäten, wurde aber gestern von 	Monsanto	 darüber informiert, daß sie aus dem Rennen ist. 
dev-s546	Auch 	BASF	 interessierte sich für diese Aktivitäten, wurde aber gestern von Monsanto darüber informiert, daß sie aus dem Rennen ist. 
dev-s556	Wer in 	China	 dick ins Geschäft kommen will, kann sich in der Tat nicht an der Armee vorbeischleichen. 
dev-s558	In 	Toulouse	 legten Studenten den Zugverkehr lahm. 
dev-s559	Die Genossinnen und Genossen, die Scharping anspricht, sind im Foyer der Halle anzutreffen, wo, wie bei jedem 	SPD	-Parteitag, die Ausstellung ``Lebendiger Ortsverein'' aufgebaut ist. 
dev-s559	Die Genossinnen und Genossen, die 	Scharping	 anspricht, sind im Foyer der Halle anzutreffen, wo, wie bei jedem SPD-Parteitag, die Ausstellung ``Lebendiger Ortsverein'' aufgebaut ist. 
dev-s560	``Unglaublich instinktlos'' findet 	Katja	 Wolle das. 
dev-s564	Der Start der Pflegehilfe Anfang 1996 gehörte zu den Wahlkampfversprechen 	Jacques	 Chiracs. 
dev-s568	Rebecca Horn, Louise Bourgeois, Rosemarie Trockel, 	Annette	 Messager und viele andere sind vertreten. 
dev-s568	Rebecca Horn, Louise Bourgeois, 	Rosemarie	 Trockel, Annette Messager und viele andere sind vertreten. 
dev-s568	Rebecca Horn, 	Louise	 Bourgeois, Rosemarie Trockel, Annette Messager und viele andere sind vertreten. 
dev-s568	Rebecca 	Horn	, Louise Bourgeois, Rosemarie Trockel, Annette Messager und viele andere sind vertreten. 
dev-s568		Rebecca	 Horn, Louise Bourgeois, Rosemarie Trockel, Annette Messager und viele andere sind vertreten. 
dev-s570	Heimfrid Wolff, der von der Zürcher Prognos AG zur Gütersloher 	Bertelsmann	-Stiftung wechselt, verbreitete Optimismus. 
dev-s570	Heimfrid 	Wolff	, der von der Zürcher Prognos AG zur Gütersloher Bertelsmann-Stiftung wechselt, verbreitete Optimismus. 
dev-s570		Heimfrid	 Wolff, der von der Zürcher Prognos AG zur Gütersloher Bertelsmann-Stiftung wechselt, verbreitete Optimismus. 
dev-s572	Der Südafrikaner reagierte damit auf Berichte, daß 	Jugoslawien	 einer Friedenslösung nur bei einer Amnestie für die Angeklagten zustimmen werde. 
dev-s573	Dem seit nunmehr zwei Jahrzehnten währenden Rechtsstreit um das Atomkraftwerk 	Mülheim	 -- Kärlich steht am kommenden Dienstag eine weitere Entscheidung bevor: 
dev-s574	Der 53jähriger Aussenminister reiste nach 	Marokko	 und enthielt sich der Kommentare. 
dev-s575	Die Menschen sollten lieber auf andere Weise gegen die Abflachung ihrer 	Melatonin	 -- Rhythmik ankämpfen. 
dev-s576	Bundespräsident Roman Herzog und Bundeswehr-Generalinspekteur Klaus Naumann gaben in ihren Eröffnungsreden auf der 35. Kommandeurstagung am Mittwoch in 	München	 das Thema vor: die wachsenden Personalprobleme der Bundeswehr. 
dev-s576	Bundespräsident Roman Herzog und Bundeswehr-Generalinspekteur 	Klaus	 Naumann gaben in ihren Eröffnungsreden auf der 35. Kommandeurstagung am Mittwoch in München das Thema vor: die wachsenden Personalprobleme der Bundeswehr. 
dev-s576	Bundespräsident Roman Herzog und 	Bundeswehr	-Generalinspekteur Klaus Naumann gaben in ihren Eröffnungsreden auf der 35. Kommandeurstagung am Mittwoch in München das Thema vor: die wachsenden Personalprobleme der Bundeswehr. 
dev-s576	Bundespräsident 	Roman	 Herzog und Bundeswehr-Generalinspekteur Klaus Naumann gaben in ihren Eröffnungsreden auf der 35. Kommandeurstagung am Mittwoch in München das Thema vor: die wachsenden Personalprobleme der Bundeswehr. 
dev-s577	Nach Angaben von Bundesgeschäftsführer 	Franz	 Müntefering wird das Parteipräsidium unmittelbar nach der Abstimmung entscheiden, ``ob es Konsequenzen aus dieser Wahl geben muß''. 
dev-s578	Die Delegationen aus Bosnien, Serbien und 	Kroatien	 setzten sich jetzt mit Vorschlägen auseinander, die Meinungsunterschiede in den Schlüsselfragen einer Friedenslösung zu überbrücken. 
dev-s578	Die Delegationen aus Bosnien, 	Serbien	 und Kroatien setzten sich jetzt mit Vorschlägen auseinander, die Meinungsunterschiede in den Schlüsselfragen einer Friedenslösung zu überbrücken. 
dev-s578	Die Delegationen aus 	Bosnien	, Serbien und Kroatien setzten sich jetzt mit Vorschlägen auseinander, die Meinungsunterschiede in den Schlüsselfragen einer Friedenslösung zu überbrücken. 
dev-s580	Der Vorsitzende der Gesellschaft zur Verfolgung von Urheberrechtsverletzungen, 	Bodo	 Schwartz, forderte ein härteres Durchgreifen der Justiz. 
dev-s582	Ungarns Ministerpräsident Gyula Horn hatte das Gesetz in einem Brief an seinen slowakischen Kollegen 	Vladimir	 Meciar als ``unannehmbaren Schritt zurück'' bezeichnet. 
dev-s582	Ungarns Ministerpräsident 	Gyula	 Horn hatte das Gesetz in einem Brief an seinen slowakischen Kollegen Vladimir Meciar als ``unannehmbaren Schritt zurück'' bezeichnet. 
dev-s582		Ungarns	 Ministerpräsident Gyula Horn hatte das Gesetz in einem Brief an seinen slowakischen Kollegen Vladimir Meciar als ``unannehmbaren Schritt zurück'' bezeichnet. 
dev-s586	St. Peter lädt in Mai und 	Oktober	 zu'' Wandern, Schauen und Erleben ``ein. 
dev-s586	St. Peter lädt in 	Mai	 und Oktober zu'' Wandern, Schauen und Erleben ``ein. 
dev-s586	St. 	Peter	 lädt in Mai und Oktober zu'' Wandern, Schauen und Erleben ``ein. 
dev-s586		St.	 Peter lädt in Mai und Oktober zu'' Wandern, Schauen und Erleben ``ein. 
dev-s587	Das Bundessozialgericht (	BSG	) hat Zweifel an der Rechtmäßigkeit einer gesetzlichen Regelung geäußert, aufgrund derer Arbeitnehmer mit einer Beschäftigung von unter 18 Wochenstunden keinen Anspruch auf Arbeitslosengeld erwerben können. 
dev-s589	Das Edelmetall setzt sich auf dem japanischen Markt durch, und in den USA steigt der Anteil von 	Platin	 am Geschäft mit Brautgeschenken und Eheringen. 
dev-s590	Vorstandschef 	Horst	 Görtz denkt für die nächsten achtzehn Monate an einen Börsengang an der Nasdaq in den USA. 
dev-s591	Die Medizintechnik -- und Pharmakonzern Fresenius will künftig nur noch jenseits der Grenzen in Erweiterungsprojekte investieren, berichtet Firmenchef 	Gerd	 Krick. 
dev-s591	Die Medizintechnik -- und Pharmakonzern 	Fresenius	 will künftig nur noch jenseits der Grenzen in Erweiterungsprojekte investieren, berichtet Firmenchef Gerd Krick. 
dev-s593	In 	Washington	 geht es um die Macht. 
dev-s595	US-Präsident Bill Clinton sagte am Donnerstag die Teilnahme am Asien-Pazifik-Gipfel in 	Japan	 ab. 
dev-s595	US-Präsident Bill Clinton sagte am Donnerstag die Teilnahme am Asien-	Pazifik	-Gipfel in Japan ab. 
dev-s595	US-Präsident Bill Clinton sagte am Donnerstag die Teilnahme am 	Asien	-Pazifik-Gipfel in Japan ab. 
dev-s595	US-Präsident 	Bill	 Clinton sagte am Donnerstag die Teilnahme am Asien-Pazifik-Gipfel in Japan ab. 
dev-s596		France	 Telecom hat uns ein Angebot unterbreitet'', erklärt ein Sprecher. 
dev-s599	Der PDS-Vorsitzende 	Lothar	 Bisky äußerte die Hoffnung, daß die Sozialdemokraten nun den Mut zu einem Kurswechsel im Umgang mit der PDS aufbrächten. 
dev-s599	Der 	PDS	-Vorsitzende Lothar Bisky äußerte die Hoffnung, daß die Sozialdemokraten nun den Mut zu einem Kurswechsel im Umgang mit der PDS aufbrächten. 
dev-s600	Die Sozialdemokraten äußerten nach der Wahl 	Lafontaines	 die Hoffnung, daß sich die SPD mit dem neuen Parteichef wieder auf die Sacharbeit konzentrieren könne. 
dev-s601	Die Trägerrakete hob planmäßig um 2.20 Uhr MEZ von der Startrampe in Kourou (Französisch-	Guyana	) ab und gab 20 Minuten später den Satelliten frei. 
dev-s601	Die Trägerrakete hob planmäßig um 2.20 Uhr MEZ von der Startrampe in Kourou (	Französisch	-Guyana) ab und gab 20 Minuten später den Satelliten frei. 
dev-s601	Die Trägerrakete hob planmäßig um 2.20 Uhr MEZ von der Startrampe in 	Kourou	 (Französisch-Guyana) ab und gab 20 Minuten später den Satelliten frei. 
dev-s602	Die 	Hamas	 warf den Behörden vor, es habe bei der Abstimmung große Unregelmäßigkeiten gegeben. 
dev-s604	Das 	US	-Repräsentantenhaus hat sich strikte Regeln gegen Geschenke von Lobbyisten auferlegt. 
dev-s605	Petersburg und 	Nordkaukasus	 stationierten Panzer. 
dev-s605		Petersburg	 und Nordkaukasus stationierten Panzer. 
dev-s606	4600 Menschen, die meisten deutschsprechend, leben in den vier Orten St. Pankraz, St. Walburg, St. Nikolaus und St. 	Gertraud	. 
dev-s606	4600 Menschen, die meisten deutschsprechend, leben in den vier Orten St. Pankraz, St. Walburg, St. 	Nikolaus	 und St. Gertraud. 
dev-s606	4600 Menschen, die meisten deutschsprechend, leben in den vier Orten St. Pankraz, St. 	Walburg	, St. Nikolaus und St. Gertraud. 
dev-s606	4600 Menschen, die meisten deutschsprechend, leben in den vier Orten St. 	Pankraz	, St. Walburg, St. Nikolaus und St. Gertraud. 
dev-s609	Die Ausgrabungszeit dauert vom 2. Juli bis 13. 	August	. 
dev-s610	Die 	Frankfurter	 Rundschau machte mit dieser Nachricht die Ausgabe vom 13. November 1945 auf. 
dev-s611	``Darauf haben wir so lange gewartet'', entschuldigen die royalen Reporter ihren Überschwang, der sich in Tausenden von Zeitungs- und Illustriertenseiten niederschlug, seit Joachim und Alexandra am 31. 	Mai	 aus heiterem Himmel ihre Verlobung bekanntgaben. 
dev-s611	``Darauf haben wir so lange gewartet'', entschuldigen die royalen Reporter ihren Überschwang, der sich in Tausenden von Zeitungs- und Illustriertenseiten niederschlug, seit Joachim und 	Alexandra	 am 31. Mai aus heiterem Himmel ihre Verlobung bekanntgaben. 
dev-s611	``Darauf haben wir so lange gewartet'', entschuldigen die royalen Reporter ihren Überschwang, der sich in Tausenden von Zeitungs- und Illustriertenseiten niederschlug, seit 	Joachim	 und Alexandra am 31. Mai aus heiterem Himmel ihre Verlobung bekanntgaben. 
dev-s612	Brandenburgs Ministerpräsident Manfred Stolpe rief Lafontaine am Freitag dazu auf, sein Verhältnis zu 	Ostdeutschland	 klarzustellen. 
dev-s612	Brandenburgs Ministerpräsident Manfred Stolpe rief 	Lafontaine	 am Freitag dazu auf, sein Verhältnis zu Ostdeutschland klarzustellen. 
dev-s612	Brandenburgs Ministerpräsident 	Manfred	 Stolpe rief Lafontaine am Freitag dazu auf, sein Verhältnis zu Ostdeutschland klarzustellen. 
dev-s612		Brandenburgs	 Ministerpräsident Manfred Stolpe rief Lafontaine am Freitag dazu auf, sein Verhältnis zu Ostdeutschland klarzustellen. 
dev-s615	Der Ausländerbeauftragte 	Lill	 nannte die friedliche Lösung ``vorbildlich''. 
dev-s616	``Es ärgert uns, daß das Amt schlechter mißt als unsere externen Prüfer'', sagt Sprecher 	Norbert	 Schäfer. 
dev-s617	Jetzt reagiere ein Teil der Zugewanderten mit ``abgrenzender Gruppenbildung'' auf den Haß, der ihnen in 	Deutschland	 entgegenschlage. 
dev-s627	Doch 	Vietnam	 kämpft mit den üblichen Schwierigkeiten sozialistischer Regimes beim ersten Flirt mit der Marktwirtschaft, vor allem mit Bürokratismus und Korruption. 
